DATE,Tbill,PPINSA,CPI,M1NSA,Unemp,IndProd,RGDP
1960Q1,3.87,31.67,29.4,140.53,5.13,23.93,2845.3
1960Q2,-4.75,-31.610000000000003,-29.229999999999997,-142.66,-5.029999999999999,-24.45,-2858.6000000000004
1960Q3,0.24999999999999956,-0.16000000000000014,-0.15000000000000213,3.329999999999984,0.1999999999999993,0.129999999999999,17.90000000000009
1960Q4,0.5800000000000005,0.1700000000000017,0.1700000000000017,1.8700000000000045,0.4399999999999995,-0.16000000000000014,-41.0
1961Q1,0.08999999999999986,0.030000000000001137,-0.13000000000000256,-3.509999999999991,-0.20999999999999908,0.21000000000000085,53.100000000000364
1961Q2,-0.0900000000000003,-0.43000000000000327,-0.07000000000000028,-0.38999999999998636,-0.33000000000000007,1.2100000000000009,35.999999999999545
1961Q3,0.050000000000000266,0.360000000000003,0.13000000000000256,1.4299999999999784,-0.4300000000000006,-0.13000000000000256,-6.399999999999636
1961Q4,0.16000000000000014,0.0,-0.08000000000000185,4.030000000000001,-0.33999999999999897,0.09000000000000341,13.099999999999909
1962Q1,0.10000000000000009,0.13999999999999702,0.08000000000000185,-4.889999999999986,-8.881784197001252e-16,-0.46000000000000085,-6.000000000000455
1962Q2,-0.26000000000000023,-0.3399999999999963,-0.010000000000001563,-0.7800000000000011,0.47000000000000064,-0.13000000000000256,-19.999999999999545
1962Q3,0.11999999999999966,0.3399999999999963,-0.019999999999999574,0.6799999999999784,0.13999999999999968,0.030000000000001137,-5.099999999999909
1962Q4,-0.14999999999999947,-0.19999999999999574,-0.019999999999999574,4.6200000000000045,-0.08000000000000007,-0.05999999999999872,-20.800000000000182
1963Q1,0.1299999999999999,-0.11000000000000298,0.030000000000001137,-3.9599999999999795,0.27999999999999936,0.2699999999999996,33.0
1963Q2,-0.07000000000000028,0.10999999999999943,-0.05000000000000071,-0.960000000000008,-0.2799999999999985,0.2099999999999973,-1.2000000000002728
1963Q3,0.3200000000000003,0.16000000000000014,0.13999999999999702,1.9199999999999875,-0.19000000000000128,-0.5099999999999945,20.600000000000364
1963Q4,-0.14000000000000012,-0.129999999999999,-0.10999999999999588,3.780000000000001,0.3000000000000007,0.269999999999996,-35.30000000000018
1964Q1,-0.18000000000000016,0.0400000000000027,0.04999999999999716,-5.239999999999981,-0.17000000000000082,-0.07000000000000028,48.600000000000364
1964Q2,-0.07999999999999963,-0.18000000000000327,-0.0799999999999983,-0.8400000000000034,-0.16999999999999904,0.2699999999999996,-34.900000000000546
1964Q3,0.06999999999999984,0.23999999999999844,0.019999999999999574,3.3799999999999955,0.0699999999999994,-0.18999999999999773,7.500000000000455
1964Q4,0.16000000000000014,-0.029999999999997584,0.07000000000000028,3.4599999999999795,0.16999999999999993,-0.019999999999999574,-36.30000000000018
1965Q1,0.029999999999999805,0.10000000000000142,-0.0400000000000027,-6.039999999999964,-0.03999999999999915,0.6699999999999982,74.80000000000018
1965Q2,-0.22999999999999998,0.129999999999999,0.10000000000000142,-0.9900000000000375,-0.16000000000000103,-0.41000000000000014,-36.70000000000027
1965Q3,0.020000000000000018,-0.07000000000000384,-0.10999999999999943,2.9300000000000352,-0.0699999999999994,-0.03999999999999915,24.699999999999818
1965Q4,0.2999999999999998,7.105427357601002e-15,0.08000000000000185,5.099999999999966,0.02999999999999936,-0.019999999999999574,15.300000000000637
1966Q1,0.14000000000000057,0.23999999999999488,0.12999999999999545,-5.529999999999973,0.040000000000000924,0.28999999999999915,3.7999999999992724
1966Q2,-0.46000000000000085,-0.3400000000000034,-0.009999999999990905,-1.5100000000000193,0.1899999999999995,-0.22999999999999687,-78.69999999999936
1966Q3,0.47000000000000064,0.21000000000000796,-0.010000000000012221,-0.3599999999999852,-0.020000000000000018,-0.1700000000000088,12.399999999999636
1966Q4,-0.28000000000000025,-0.5800000000000054,-0.019999999999988916,4.8700000000000045,-0.009999999999999787,-0.19999999999998863,6.099999999999909
1967Q1,-0.8700000000000001,0.28000000000000114,-0.1700000000000088,-4.370000000000033,0.19999999999999973,-0.5200000000000102,3.0000000000004547
1967Q2,-0.14999999999999947,-0.10999999999999943,0.11000000000000654,0.6000000000000227,-0.1299999999999999,0.05000000000000426,-33.400000000000546
1967Q3,1.4899999999999993,0.20000000000000284,0.12999999999999545,3.3700000000000045,-0.03000000000000025,0.37000000000000455,30.500000000000455
1967Q4,-0.1899999999999995,-0.060000000000002274,0.03999999999999915,2.759999999999991,0.13000000000000034,0.7099999999999937,-1.2000000000002728
1968Q1,-0.15000000000000036,0.3999999999999986,-0.03999999999999204,-6.099999999999994,-0.27,-0.4299999999999926,51.80000000000018
1968Q2,0.16999999999999993,-0.269999999999996,-7.105427357601002e-15,0.9399999999999977,0.009999999999999787,-0.020000000000010232,-12.900000000000091
1968Q3,-0.7899999999999991,-0.07000000000000739,0.14000000000000057,2.230000000000018,0.1200000000000001,-0.20999999999999375,-40.80000000000018
1968Q4,0.7099999999999991,0.07000000000000739,-0.03999999999999915,4.099999999999966,-0.08999999999999986,0.28999999999999915,-10.199999999999818
1969Q1,0.11000000000000032,0.29999999999999716,0.00999999999999801,-6.369999999999976,0.1299999999999999,0.1599999999999966,47.80000000000018
1969Q2,-0.3899999999999997,0.0,0.12000000000000455,-1.3600000000000136,0.03000000000000025,-0.5599999999999952,-53.5
1969Q3,0.7099999999999991,-0.22999999999999687,-0.060000000000002274,0.8600000000000136,0.10999999999999943,0.28999999999999915,14.599999999999454
